Акредитација,Шифра,Назив,Смерови,Семестри,Семестар,Фонд,Групе Пр,Групе В,Групе Пк,Ток,Предавања,Фонд предавања, ,Вежбе,Фонд вежбе,,Практикум,,Напомена,Бр. распоређ. студената 2021,,,,,
Основне академске студије 2015,Р260,Вештачка интелигенција,"1ИБМР(22), 1ИБМР3(22), АИ.15, И.15, И.17, ИПМР5(15)",6,Пролећни семестар,3 + 2,2,4,0,3и1,Предраг Јаничић,3,3и1а,Марко Спасић,2,,,,,247,,,,,
,,,,,,3 + 2,2,4,0,3и2,Младен Николић,3,3и1б,Марко Спасић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,3и2а,Денис Аличић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,3и2б,Денис Аличић,2,,,,,,,,,,
Основне академске студије 2015,Р274,Истраживање података 1,"1ИБМР(22), 1ИБМР3(22), И.15, И.17, ИПМР5(15)",6,Пролећни семестар,3 + 2,2,4,0,3и1,Ненад Митић,3,3и1а,Стефан Капунац,2,,,"Истраживање података (Р374), 2015",,254,,,,,
,,,,,,3 + 2,2,4,0,3и2,Ненад Митић,3,3и1б,Стефан Капунац,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,3и2а,Марија Ерић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,3и2б,Марија Ерић,2,,,,,,,,,,
Основне академске студије 2015,Р245,Програмске парадигме,"И.15, И.17, ИПАИ1(15)",6,Пролећни семестар,2 + 3,2,4,0,3и1,Милена Вујошевић Јаничић,2,3и1а,Иван Ристовић,3,,,,,186,,,,,
,,,,,,2 + 3,2,4,0,3и2,Милена Вујошевић Јаничић,2,3и1б,Иван Ристовић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2а,Милан Чугуровић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2б,Милан Чугуровић,3,,,,,,,,,,
Основне академске студије 2015,Р272,Програмирање база података,"ИПВ(17), ИПК(15), ИПК(17), ИПР(15), ИПР(17)",6,Пролећни семестар,2 + 3,2,4,0,3и1,Нина Радојичић Матић,2,3и1а,Борис Цвитак,3,,,,,149,,,,,
,,,,,,2 + 3,2,4,0,3и2,Нина Радојичић Матић,2,3и1б,Борис Цвитак,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2а,Лука Јовичић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2б,Лука Јовичић,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Основне академске студије 2015,Р290,Развој софтвера,"1ИБМР(22), 1ИБМР3(22), И.15, И.17, ИПМР5(15)",7,Јесењи семестар,2 + 3,2,4,0,4и1,Саша Малков,2,4и1а,Андријана Алексић,3,,,,,158,,,,,
,,,,,,2 + 3,2,4,0,4и2,Саша Малков,2,4и1б,Андријана Алексић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,4и2а,Петар Ђорђевић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,4и2б,Петар Ђорђевић,3,,,,,,,,,,
Основне академске студије 2015,Р231,Рачунарске мреже,"И.15, И.17",7,Јесењи семестар,2 + 3,2,4,0,4и1,Мирко Спасић,2,4и1а,Иван Ристовић,3,,,,,156,,,,,
,,,,,,2 + 3,2,4,0,4и2,Мирко Спасић,2,4и1б,Лука Јовичић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,4и2а,Никола Катић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,4и2б,Никола Катић,3,,,,,,,,,,
